"scenario","rho","method","label","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","expected_code_mean","expected_code_se","code_penalty_mean","code_penalty_se","entropy_penalty_mean","entropy_penalty_se","objective_check_mean","objective_check_se","q_effective_kernels_mean","q_effective_kernels_se","q_kernel95_mean","q_kernel95_se","rmse_gap_mean","rmse_gap_se","logscore_gap_mean","logscore_gap_se","n_kernels_mean","n_kernels_se","active_kernels_001_mean","active_kernels_001_se","objective_mean","objective_se","kkt_residual_mean","kkt_residual_se","runtime_sec_mean","runtime_sec_se","column_iterations_mean","column_iterations_se","retained_q_mass_mean","retained_q_mass_se","n_replications","mode"
"one_representative",0.95,"posterior_cluster_only","Cluster only",0.00808910046657196,0.000807904295243614,0.00219733783383849,0.000217141534005246,0.00186920846248686,0.00018599886978534,0.0228465261341186,0.000371719481838687,4.70111408718668,0.00192975413178299,0.0940222817437336,3.85950826356608e-05,-0.000287497659590107,4.12558989051647e-07,0.095932121917982,0.000255323233624766,1.3330876990922,0.000549998018243913,2,0,-3.33272061938672e-05,1.4797677620087e-05,-2.4336456818134e-05,2.18992992952073e-05,3,0,3,0,0.095932121917982,0.000255323233624766,0.0645549569249865,0.000436820078681739,0.363333333333332,0.0317979733805656,2,0,NA,NA,3,"medium"
"weak_signal",0.95,"posterior_cluster_only","Cluster only",0.0422074440996826,0.00432036168527218,0.012494774738741,0.000766545621135189,0.0119933906983155,0.000637549223204682,0.001,8.85247366868827e-20,2.12628317412582,0.167554764514198,0.0425256634825163,0.00335109529028395,-0.00107963444617156,0.000304895997514926,0.0539408037750857,0.00288599747045975,3.19521717661706,0.797752323799247,4,1,0.00240775557327133,0.00396756187166275,-0.0019057674208797,0.00131478340404937,7.33333333333333,1.76383420737639,6.33333333333333,1.66666666666667,0.0539408037750857,0.00288599747045975,0.0242354502999157,0.0124554959531574,0.976666666666669,0.311198400452894,6.33333333333333,1.76383420737639,NA,NA,3,"medium"
"one_representative",0.95,"fixed_hard_dictionary","Fixed hard",0.102777483348317,0.0259117444701395,0.0724316526619934,0.00133326516396002,0.050846114311896,0.00483928264141985,0.314346368613748,0.106049012889704,10.1892681374719,1.84430965100963,0.203785362749439,0.0368861930201925,-0.00102815690269035,1.46288972068587e-05,0.275188858508742,0.0355698973474608,2.79650358710714,0.0406251478127043,3,0,-0.000512384321276057,0.000560195722156951,0.000581184679761944,0.000600985966178896,17,0,NA,NA,0.275188858508742,0.0355698973474608,0.029251381243687,0.00228420179049606,0.383333333333333,0.0437162568286802,0,0,NA,NA,3,"medium"
"weak_signal",0.95,"fixed_hard_dictionary","Fixed hard",0.0653577470556425,0.00233214755579125,0.0608050354076866,0.00292629376561374,0.0333512417013175,0.00187779023613471,0.105892772304232,0.0151405324374224,6.42326930528975,0.268621813217425,0.128465386105795,0.0053724362643485,-0.00145677243527654,0.00010653047588781,0.187813649078205,0.00837447974298444,4.34241282589473,0.480891698798008,5.66666666666667,1.20185042515466,0.00584762916561606,0.00251180023173275,-0.00327159509659255,0.00105876328374337,17,0,NA,NA,0.187813649078205,0.00837447974298444,0.0358402475813309,0.0113437779039418,0.323333333333333,0.0176383420737658,0,0,NA,NA,3,"medium"
"one_representative",0.95,"full_adaptive","Full adaptive",0.0442786469103596,0.0226182369833397,0.0179374448644965,0.00929358679950847,0.0141901349214607,0.00720747930986627,0.334,0.333,4.58115251823214,2.75020142402972,0.0916230503646429,0.0550040284805945,-0.00054321929611842,0.000315176238578141,0.109017275933021,0.046002882432409,1.8973071092744,0.578870322461049,2.66666666666667,0.881917103688197,-0.000112805832850486,0.000110791255517529,8.50568305085601e-05,7.15599015178166e-05,5.33333333333333,2.60341655863555,5,2.64575131106459,0.109017275933021,0.046002882432409,0.00825558156570053,0.00516086591540454,4.03,1.04423815929764,8.33333333333333,2.33333333333333,NA,NA,3,"medium"
"weak_signal",0.95,"full_adaptive","Full adaptive",0.0387335375937881,0.00231462517122806,0.00991810545444448,0.000601248755453262,0.00958103118147362,0.00090805971790074,0.001,0,2.223948569443,0.0564682327101626,0.0444789713888601,0.00112936465420325,-0.00129165383040479,0.000200998597475206,0.0531054230128998,0.00183612409976089,3.78059687740943,0.698065559666361,5,0.577350269189626,0.00181073151595923,0.00325933874411826,-0.00146546913847316,0.00126168815048232,10,1.15470053837925,8.33333333333333,1.33333333333333,0.0531054230128998,0.00183612409976089,0.0200579836093303,0.00712376831977989,5.01999999999999,0.338673884437519,10.6666666666667,0.666666666666667,NA,NA,3,"medium"
"one_representative",0.95,"graph_only","Graph only",0.0445390001230171,0.0142355580666314,0.0110511289953506,0.00319613627179306,0.00966604267303888,0.00289499313876856,0.00956374737918327,0.00856374737918327,5.01792073444898,0.0430772481725588,0.10035841468898,0.000861544963451176,-0.000723355987841278,7.10854273576978e-05,0.110686187696489,0.00398496756150392,2.07201582736395,0.152117916246493,3,0,-0.000270085361730787,0.000293511173426005,0.000285339188104139,0.000277634622970747,4.66666666666667,0.333333333333333,4.33333333333333,0.333333333333333,0.110686187696489,0.00398496756150392,0.019004687285526,0.012575090554991,0.413333333333332,0.0425571511160124,3.66666666666667,0.333333333333333,NA,NA,3,"medium"
"weak_signal",0.95,"graph_only","Graph only",0.0874172663615228,0.0114057288817749,0.0286553176374647,0.000998306868122221,0.0289953918687391,9.92696770185618e-05,0.118903486395382,0.0728763884204531,5.56792003547609,0.366581839807496,0.111358400709522,0.00733163679614993,-0.00117545105294689,0.000127612414893366,0.13883826729404,0.00818287764267267,3.29348902749321,0.428238032569354,3.33333333333333,0.333333333333333,0.0068297010813636,0.00647568892684248,-0.00398890480991939,0.00357172421316631,4.66666666666667,0.333333333333333,4.66666666666667,0.333333333333333,0.13883826729404,0.00818287764267267,0.0292889337753605,0.00558330974947856,0.373333333333335,0.0366666666666617,3.66666666666667,0.333333333333333,NA,NA,3,"medium"
"one_representative",0.95,"intervals_only","Intervals only",0.0398097624565697,0.00595766729779735,0.0112900595012409,0.00177907949639946,0.00973029863309636,0.00140539572714494,0.001,8.85247366868827e-20,4.28944937083538,0.00569226840096604,0.0857889874167076,0.000113845368019323,-0.00134495056391716,0.000106365222773344,0.0957340963540314,0.00199767459860419,3.88004684054666,0.389468233209456,5.33333333333333,0.666666666666667,0.000197976768799846,0.000267732382398521,-4.85423861216934e-05,0.000139135792058352,9.66666666666667,1.33333333333333,9.33333333333333,1.66666666666667,0.0957340963540314,0.00199767459860419,0.0133911061293716,0.00622328912108576,2.12666666666667,0.285909853702956,8.66666666666667,1.33333333333333,NA,NA,3,"medium"
"weak_signal",0.95,"intervals_only","Intervals only",0.0821219386801012,0.00862131043828186,0.0284367057331715,0.00351249514644615,0.0281293634136639,0.00423024741915309,0.00144663818412859,0.000446638184128585,4.7917065926176,0.353767289172957,0.0958341318523519,0.00707534578345913,-0.00162585881315976,0.00010394744847479,0.122644978772364,0.00528962782063985,5.13597653558303,0.504135176869047,6.33333333333333,0.333333333333333,0.00380017234911715,0.00523110654971944,-0.00301173301066108,0.00289780269566357,10.6666666666667,0.666666666666667,10.3333333333333,0.881917103688197,0.122644978772364,0.00528962782063985,0.0162272103588397,0.00783101357401493,2.15333333333334,0.118930418499415,9.66666666666667,0.666666666666667,NA,NA,3,"medium"
