"method","tv","fkl","rkl","mean_h_error","expected_code","code_penalty","entropy_penalty","objective_check","q0","q_effective_kernels","q_kernel95","rmse","logscore","rmse_gap","logscore_gap","label","n_kernels","active_kernels_001","objective","kkt_residual","runtime_sec","column_iterations","q_iterations","selected_types","scenario","rho","replication_id","mode","retained_q_mass"
"fixed_hard_dictionary",0.154595404373997,0.0697686901968598,0.0605221730467594,6.89970969247611e-10,13.8777712842859,0.277555425685718,-0.000999105115704548,0.346325010766873,0.526440722992822,2.71585036883992,3,1.37971756003399,-1.75863948370258,-0.00163157033364358,0.00178212955922796,"Fixed hard",17,NA,0.346325010766873,0.0332584954106628,0.47,0,80,"","one_representative",0.95,1,"medium",NA
"topM_support_atoms",0.0257747106614115,0.0641842636808516,0.0204054857882225,2.22044604925031e-16,9.3686529639222,0.187373059278444,-0.00190320357164768,0.249654119387648,0.0212028018603303,6.70734752905668,14,1.3813613409914,-1.76060479875432,1.22106237665509e-05,-0.000183185492503624,"Top-$M$ atoms",33,NA,0.249654119387648,0.0102581742585762,0.16,0,31,"","one_representative",0.95,1,"medium",NA
"pooled_candidate_union",0.0731973036938335,0.0219434276836436,0.0185176547747509,1.77379322341409e-09,3.17792513287702,0.0635585026575403,-0.00300392639416043,0.0824980039470235,0.001,20.1645556859597,62,1.38108308212557,-1.7602452875414,-0.000266048242057115,0.000176325720408155,"Pooled union",375,77,0.0824980039470235,0.0523196763877714,11.27,0,5,"pooled_union_warmstarted","one_representative",0.95,1,"medium",NA
"pooled_pruned_99",0.0731607263655207,0.0219298783009746,0.0185057984388365,3.5527136788005e-15,3.18350187153502,0.0636700374307003,-0.0030157839642762,0.0825841317673988,0.001,20.4050815266759,63,1.38108393427016,-1.76024609993401,-0.000265196097470222,0.000175513327800303,"Pooled-pruned 99%",238,77,0.0825841317673988,0.0523451343475182,5.23,0,140,"pooled_pruned_99","one_representative",0.95,1,"medium",0.990029260194349
"full_adaptive",0.0744370104293099,0.0226873617074942,0.0190889949262616,4.66293670342566e-15,2.68897573831471,0.0537795147662942,-0.00109176355981145,0.075375112913977,0.001,2.97952401071497,4,1.38101475430938,-1.7601943462213,-0.000334376058249486,0.000227267040507906,"Full adaptive",10,10,0.075375112913977,0.0177487838657974,4.62,9,80,"soft_capacity;soft_hamming;soft_group_hamming","one_representative",0.95,1,"medium",NA
"no_residual_cover",0.0811314731076855,0.0283741639643799,0.0232198920855707,5.10702591327572e-15,2.50508571223946,0.0501017142447893,-0.00111078477839571,0.0773650934307735,0.00686513124205943,3.03674062798891,5,1.38100013887175,-1.76020216928323,-0.000348991495883855,0.0002194439785832,"No residual",9,9,0.0773650934307735,0.0573092650795582,3.75,8,80,"soft_capacity;soft_hamming;soft_group_hamming","one_representative",0.95,1,"medium",NA
"no_posterior_cluster",0.0819578378869231,0.0267126044158757,0.0224572758840053,4.88498130835069e-15,2.88547086980394,0.0577094173960787,-0.00108487056954654,0.0833371512424079,0.00205480964922607,2.95905680188932,4,1.38093804564904,-1.76008774419509,-0.000411084718588306,0.000333869066722059,"No cluster",9,9,0.0833371512424079,0.055093134671264,3.39,8,80,"soft_capacity;soft_hamming;soft_group_hamming;soft_interval","one_representative",0.95,1,"medium",NA
"posterior_cluster_only",0.00953032301821419,0.00258364375854017,0.00220043636303777,2.66453525910038e-15,4.70455982596354,0.0940911965192709,-0.000288236158448095,0.096386604119363,0.0235101600417148,1.33407231937375,2,1.38129225949242,-1.76048126290834,-5.68708752062275e-05,-5.96496465308238e-05,"Cluster only",3,3,0.096386604119363,0.0637781951577574,0.399999999999999,2,80,"soft_group_hamming","one_representative",0.95,1,"medium",NA
"residual_cover_only",0.00930487195141072,0.0024408450195859,0.00208897665289431,2.66453525910038e-15,5.51633716489028,0.110326743297806,-0.000399233006848805,0.112368355310543,0.0515373648124831,1.49068091700742,3,1.38129359383139,-1.76047980358881,-5.55365362406857e-05,-5.81903269996076e-05,"Residual only",3,3,0.112368355310543,0.0552250816951148,0.299999999999997,2,80,"soft_group_hamming","one_representative",0.95,1,"medium",NA
"intervals_only",0.051648852543139,0.0148481394267897,0.0125342365256497,1.55431223447522e-15,4.30071392272686,0.0860142784545372,-0.0011329818835298,0.0997294359977972,0.001,3.10490116366132,4,1.38105286261446,-1.7601925036518,-0.000296267753169266,0.000229109610012879,"Intervals only",7,6,0.0997294359977972,0.00796480404539091,1.64,6,80,"soft_interval","one_representative",0.95,1,"medium",NA
"graph_only",0.072968508078001,0.0174273963444765,0.0154436766180179,2.44249065417534e-15,5.1040752307941,0.102081504615882,-0.000865517649435017,0.118643383310923,0.0266912421375498,2.37623582479502,3,1.38049263160177,-1.7595810057975,-0.000856498765859692,0.000840607464314136,"Graph only",4,4,0.118643383310923,0.0441512097782057,0.329999999999998,3,80,"soft_graph","one_representative",0.95,1,"medium",NA
"fixed_hard_dictionary",0.0762106475511714,0.0736437137360642,0.0458173364969047,4.7236137223905e-10,8.31966565916088,0.166393313183218,-0.0010396812707102,0.238997345648572,0.207218434728876,2.82831540371437,3,1.39043374172311,-1.74756051825034,2.21153322566003e-06,2.37348154423778e-05,"Fixed hard",17,NA,0.238997345648572,0.0291478269230214,0.350000000000001,0,80,"","one_representative",0.95,2,"medium",NA
"topM_support_atoms",0.0538129567185815,0.115632843449409,0.046658153292266,0,10.2852579736545,0.205705159473089,-0.00238508186604565,0.318952921056452,0.0519019589951145,10.8599516898303,19,1.39007488034827,-1.74722567048305,-0.000356649841612766,0.000358582582733691,"Top-$M$ atoms",33,NA,0.318952921056452,0.00503209775564029,0.170000000000002,0,31,"","one_representative",0.95,2,"medium",NA
"pooled_candidate_union",0.0564810841885644,0.0284577895794488,0.0217742284290219,1.22304233407533e-09,1.49680268616244,0.0299360537232489,-0.00201687038886319,0.0563769729138345,0.001,7.51476978644803,43,1.39049603528545,-1.74760260610086,6.45050955674353e-05,-1.83530350796879e-05,"Pooled union",375,60,0.0563769729138345,0.0571377372170503,11.2,0,5,"pooled_union_warmstarted","one_representative",0.95,2,"medium",NA
"pooled_pruned_99",0.0564431393943957,0.0284064922779744,0.0217411782216231,6.66133814775094e-16,1.50404651844196,0.0300809303688393,-0.00202938178233322,0.0564580408644804,0.001,7.60938065080235,44,1.3904964984109,-1.74760292560071,6.49682210109859e-05,-1.86725349324846e-05,"Pooled-pruned 99%",251,60,0.0564580408644804,0.0570923386543538,6.25,0,140,"pooled_pruned_99","one_representative",0.95,2,"medium",0.990229830025769
"full_adaptive",0.0583989303017684,0.031124972885994,0.0234814098381217,4.44089209850063e-16,1.05448181638172,0.0210896363276345,-0.000537894328543811,0.0516767148850847,0.001,1.71239731710823,3,1.39042748874959,-1.74755634961476,-4.04144030197173e-06,2.79034510177745e-05,"Full adaptive",5,4,0.0516767148850847,0.00701796083130424,2,4,80,"soft_capacity;soft_group_hamming","one_representative",0.95,2,"medium",NA
"no_residual_cover",0.0583989303017684,0.031124972885994,0.0234814098381217,4.44089209850063e-16,1.05448181638172,0.0210896363276345,-0.000537894328543811,0.0516767148850847,0.001,1.71239731710823,3,1.39042748874959,-1.74755634961476,-4.04144030197173e-06,2.79034510177745e-05,"No residual",5,4,0.0516767148850847,0.00701796083130424,1.89,4,80,"soft_capacity;soft_group_hamming","one_representative",0.95,2,"medium",NA
"no_posterior_cluster",0.0614281044567105,0.0359018444149892,0.0263846128277127,4.44089209850063e-16,0.865853959024345,0.0173170791804869,-0.000342372335125413,0.0528765512603507,0.00138854537573242,1.40828455371447,2,1.39042769717795,-1.74755583814071,-3.83301194073482e-06,2.84149250722177e-05,"No cluster",4,4,0.0528765512603507,0.0549136153355083,1.4,3,80,"soft_capacity;soft_group_hamming","one_representative",0.95,2,"medium",NA
