"evidence","comparison","metric","n_pairs","mean_gap","median_gap","paired_t_p","wilcoxon_p"
"Exact","Top-M atoms","fkl",70,0.0214158413116806,0.0169343332514856,3.08022177213076e-16,3.63741168745459e-13
"Exact","Credible set","fkl",70,0.0466221523804158,0.0464760248358535,3.48884706768805e-101,3.63741168745459e-13
"Exact","Posterior clustering","fkl",70,0.00116734850450706,0.00082800483903387,2.63681756674516e-06,3.67300152947628e-06
"Exact","Posterior clustering","expected_code",70,1.55316421930443,1.36700534533289,1.84564957558258e-23,3.63741168745459e-13
"Exact","Dilution-prior BMA","fkl",70,0.00223086230449338,0.00105818395871597,0.000135540843912694,0.00196279655123788
"Exact","DPP-prior BMA","fkl",70,0.0136432661655715,0.00804516815010286,4.05348034020313e-10,4.25759824246155e-10
"Large end-to-end","Top-M atoms","fkl",36,0.469017111433025,0.452362517680033,7.6414719729339e-17,1.75320154250702e-07
"Large end-to-end","Credible set","fkl",36,0.409619572824117,0.408999985706596,1.61247505742512e-67,1.75320154250702e-07
"Large end-to-end","Posterior clustering","fkl",36,-0.0106081015768584,-0.010042555504269,2.47205409402076e-26,1.75320154250702e-07
"Large end-to-end","Posterior clustering","expected_code",36,5.1165482941337,4.9992915388524,4.26201672943266e-24,1.75320154250702e-07
"Large end-to-end","Dilution-prior BMA","fkl",36,0.389591603173639,0.330483785056103,6.92136690909167e-10,1.75320154250702e-07
"Large end-to-end","DPP-prior BMA","fkl",36,0.421342683277817,0.362593537229998,4.3329196001046e-10,1.75320154250702e-07
"Reduced real-response","Top-M atoms","fkl",10,0.198138287150286,0.198108790214552,1.75389541122805e-15,0.00592153702414871
"Reduced real-response","Credible set","fkl",10,0.12757406638282,0.129368438749087,1.93893409137682e-14,0.00592153702414871
"Reduced real-response","Posterior clustering","fkl",10,-0.00558768642643058,-0.00601390053033074,0.079802814090264,0.102917539402853
"Reduced real-response","Posterior clustering","expected_code",10,2.38038743846023,2.44744069719983,9.83328022690482e-07,0.00592153702414871
"Reduced real-response","Dilution-prior BMA","fkl",10,5.04323271730051,4.75049877551615,0.00105790011498558,0.00592153702414871
"Reduced real-response","DPP-prior BMA","fkl",10,12.2513142879458,11.9967816150192,0.000403284520815534,0.00592153702414871
