"method","method_family","tuning","beta","tv","fkl","rkl","mean_h_error","q0","expected_code","active_kernels_001","q_effective_kernels","n_kernels","stored_atoms","objective","rmse","logscore","rmse_gap","logscore_gap","kkt_residual","optimizer_status","optimizer_iterations","objective_change","raw_candidates","key_deduped_candidates","near_deduped_candidates","objective_consistent","status","error","scenario","rho","replication_id","mode","p","n_train","n_test","reference_object","reference_support_entropy","reference_support_n95","reference_mode","sampler","n_iter","burn","thin","n_chains","retained_draws","unique_supports","unique_group_states","top_support_mass","effective_support_count","mean_size","accept_rate","group_pip_max_range","group_pip_mean_range","split_rhat_max","split_rhat_median","ess_min","ess_median","group_pip_mcse_max","runtime_sec_reference","diagnostic_status","diagnostic_warning","runtime_sec"
"ASK-PC pooled union","support-kernel compression","beta=0.005",0.005,0.0897735103616404,0.0229296930390387,0.0210070553487592,0,0.15395078509459,8.79511290846487,246,152.155808282591,1188,NA,0.0618803525310267,1.28038980680719,-1.66714596262339,-0.000221816411585918,0.000226336975211572,0.0166604365262564,"embedded_pruned_feasible_solution",0,0,2351,2342,1188,TRUE,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.005",0.005,0.0897735103616404,0.0229296930390387,0.0210070553487592,0,0.15395078509459,8.79511290846487,246,152.155808282591,381,NA,0.0618803525310267,1.28038980680719,-1.66714596262339,-0.000221816411585918,0.000226336975211572,0.00728525520863077,"max_iter_reached",140,6.89467453601766e-07,2351,2342,1188,TRUE,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Fixed hard dictionary","fixed region dictionary","beta=0.005",0.005,0.233153861022966,0.245045865322356,0.161552962541449,0,0.139045351850048,51.2838910377112,43,24.8432977520602,49,NA,0.498252732502913,1.27989227312943,-1.66667456992222,-0.000719350089346094,0.000697729676381487,0.17184251716686,"max_iter_reached",120,3.70830580593839e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=24, beta=0.005",0.005,0.183901494239905,0.445467212068054,0.178163790630271,0,0.0413475539188265,61.0831583385578,25,3.91798435545676,25,24,0.749517426434321,1.27940246187039,-1.66631287590577,-0.00120916134838667,0.00105942369282608,0.00666650893955145,"objective_converged_kkt_warning",33,1.65984088484894e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=48, beta=0.005",0.005,0.130304874339991,0.353004964789378,0.125850280075076,0,0.0291855388576862,50.3650177069538,49,5.47109034056028,49,48,0.603130575396579,1.27990360837398,-1.6667408367917,-0.000708014844795102,0.000631462806898409,0.00567114658105139,"objective_converged_kkt_warning",32,1.27609850497645e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=96, beta=0.005",0.005,0.0691375046991301,0.226204971435161,0.0671676821938702,1.11022302462516e-16,0.0154469267528937,38.3056606366157,88,7.86935919724292,97,96,0.415670297982602,1.27979288940749,-1.66669129439655,-0.000818733811278172,0.000681005202051388,0.00482376774406146,"objective_converged_kkt_warning",31,5.67070286061622e-07,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=8, beta=0.005",0.005,0.0569958216519439,0.00873413998635817,0.00832382884953077,0,0.644258601863176,15.9423499199904,15,4.7011391926135,15,NA,0.0868980847255588,1.28027963832654,-1.667085113069,-0.000331984892235182,0.000287186529601025,0.0404958070212804,"max_iter_reached",120,4.32080290066195e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=12, beta=0.005",0.005,0.0593360176175468,0.0095611658832701,0.00907463468308026,0,0.605260234621801,15.8979096110582,20,5.94233638868632,20,NA,0.0872686115510952,1.28024146306193,-1.66704804028976,-0.000370160156846211,0.000324259308838837,0.0417967133277923,"max_iter_reached",120,5.03699351218773e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Posterior clustering","posterior clustering","clusters=16, beta=0.005",0.005,0.0607195127113789,0.00995436815342024,0.0094523064996228,0,0.605978471533474,15.9021037170516,26,6.70597264332794,26,NA,0.0875618881700767,1.28028107632336,-1.66708343139288,-0.000330546895411121,0.000288868205716719,0.0443645216693002,"max_iter_reached",120,6.30483685205852e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"ASK-PC pooled union","support-kernel compression","beta=0.02",0.02,0.108712642181954,0.0352071431644193,0.031305208773381,0,0.001,6.43243980887042,106,46.5837577203967,1188,NA,0.160014687408216,1.2803627417436,-1.66711264751628,-0.000248881475167329,0.000259652082322592,0.0163256740360288,"embedded_pruned_feasible_solution",0,0,2351,2342,1188,TRUE,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02",0.02,0.108712642181954,0.0352071431644193,0.031305208773381,0,0.001,6.43243980887042,106,46.5837577203967,163,NA,0.160014687408216,1.2803627417436,-1.66711264751628,-0.000248881475167329,0.000259652082322592,0.00928984934681065,"max_iter_reached",140,1.2059837505296e-06,2351,2342,1188,TRUE,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Fixed hard dictionary","fixed region dictionary","beta=0.02",0.02,0.272002805505617,0.470185443302277,0.231890668934066,0,0.0253129446908343,26.3426298951866,45,30.8899129278035,49,NA,0.993607611517865,1.27974486570487,-1.66652255420138,-0.000866757513900085,0.000849745397219381,0.126864427839335,"max_iter_reached",120,3.38850548377012e-05,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=24, beta=0.02",0.02,0.189801665651506,0.702553986636485,0.20204275113473,0,0.0105907959087432,33.4365718276845,25,3.46387187253481,25,24,1.37004303618846,1.27930571619163,-1.6662215123996,-0.00130590702713862,0.00115078719899619,0.037835239369715,"objective_converged_kkt_warning",62,2.0426575677579e-06,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
"Top-M support atoms","atom truncation","M=48, beta=0.02",0.02,0.13323652725875,0.533114081655497,0.138853857268349,0,0.00752386384969537,30.8748428030613,49,4.93480985898023,49,48,1.14901462357366,1.27989139899172,-1.6667192592988,-0.000720224227049426,0.000653040299797292,0.213065961515932,"objective_converged_kkt_warning",53,8.22523663401853e-07,NA,NA,NA,NA,"ok",NA,"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds",2.54402181079742,130,"mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass","",NA
