"scenario","rho","replication_id","mode","p","n_train","n_test","reference_object","reference_mode","sampler","n_iter","burn","thin","n_chains","retained_draws","unique_supports","unique_group_states","top_support_mass","effective_support_count","mean_size","accept_rate","group_pip_max_range","group_pip_mean_range","split_rhat_max","split_rhat_median","ess_min","ess_median","group_pip_mcse_max","runtime_sec_reference","diagnostic_status","diagnostic_warning"
"one_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep001_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,526,98,0.607333333333333,12.7307688926634,5.41188888888889,0.0347916666666667,0.086,0.0219166666666667,1.05661883999923,1.00553724626053,175.144725057857,1794.91257242563,0.0119858070512038,12.18,"pass",""
"ordered_interval",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p70_rep001_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,895,158,0.439944444444444,23.1517269572382,5.03694444444444,0.065625,0.102333333333333,0.0179166666666667,1.07150476332337,1.00304941546882,142.131970313808,2754.3665588738,0.0120906276449471,14.68,"pass",""
"weak_signal",0.9,1,"full",100,120,400,"sim/output/large_end_to_end/full_weak_signal_rho0p90_rep001_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,4569,435,0.0297777777777778,1080.29661173553,3.42272222222222,0.205425,0.188666666666667,0.04695,1.04598290068993,1.00273795364394,177.6422078063,2029.81830579627,0.0255383690542604,26.0999999999999,"pass",""
"one_representative",0.7,2,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep002_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,755,109,0.386944444444444,23.640203606999,6.15427777777778,0.0297583333333333,0.235666666666667,0.0262166666666667,1.02758743017367,1.00452289190624,160.423840704464,2026.26676420042,0.0324309682567931,17.3199999999997,"pass","low acceptance"
"ordered_interval",0.7,2,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p70_rep002_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,928,240,0.303166666666667,24.8997021992818,5.57294444444444,0.0617166666666667,0.328,0.03555,1.0972592693646,1.00309310105561,139.000128624864,2568.17492732982,0.0323896566440756,17.5499999999997,"pass",""
"weak_signal",0.9,2,"full",100,120,400,"sim/output/large_end_to_end/full_weak_signal_rho0p90_rep002_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,4606,440,0.0408333333333333,806.015627132036,3.12116666666667,0.2109,0.134,0.035,1.05791314195528,1.00387471494381,177.208405281288,2331.41900060496,0.0243832469178779,25.3899999999999,"pass",""
"one_representative",0.7,3,"full",100,120,400,"sim/output/large_end_to_end/full_one_representative_rho0p70_rep003_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,858,118,0.202888888888889,37.673200016928,5.89788888888889,0.0431083333333333,0.186666666666667,0.0252666666666667,1.0293926144528,1.00278248222127,202.939735035169,2436.62227926804,0.0288010495419652,19.8400000000001,"pass",""
"ordered_interval",0.7,3,"full",100,120,400,"sim/output/large_end_to_end/full_ordered_interval_rho0p70_rep003_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1029,283,0.3765,28.5140964569975,6.19155555555556,0.0532583333333333,0.246666666666667,0.0397666666666667,1.03311927581271,1.00364721115326,179.532176193809,1821.04026008464,0.0290337422084362,20.6999999999998,"pass",""
"weak_signal",0.9,3,"full",100,120,400,"sim/output/large_end_to_end/full_weak_signal_rho0p90_rep003_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,5865,386,0.0157777777777778,2091.68077190319,4.47738888888889,0.183808333333333,0.182666666666667,0.038,1.04581419394967,1.00272316129919,185.259720852337,1964.26330626452,0.0257687885766463,33.6599999999999,"pass",""
"multi_representative",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_multi_representative_rho0p70_rep001_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1144,101,0.301444444444444,55.5654947356179,7.01355555555556,0.0379333333333333,0.0586666666666667,0.0146333333333333,1.02554806425677,1.00293467931138,177.831703522179,2138.528405175,0.00908002199416213,13.78,"pass",""
"graph_community",0.7,1,"full",100,120,400,"sim/output/large_end_to_end/full_graph_community_rho0p70_rep001_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1335,138,0.2645,67.8502182760174,6.67511111111111,0.0383,0.0976666666666667,0.0206166666666667,1.06903257111996,1.00423636196861,180.176188636145,1928.52429832911,0.0136489198515807,20.11,"pass",""
"noisy_grouping",0.9,1,"full",100,120,400,"sim/output/large_end_to_end/full_noisy_grouping_rho0p90_rep001_reference_reliable_full_v2.rds","mcmc_empirical_visited_supports","long multi-chain MC3",20000,5000,5,6,18000,1357,176,0.238,68.6335963501644,5.46366666666667,0.056675,0.231666666666667,0.0425833333333333,1.07598940100304,1.00457436053242,150.555472862973,1617.221672649,0.0404206110575977,19.53,"pass",""
