"region","kernel_type","center","radius","q","alpha","cost","reading","scenario","rho","replication_id","tv","fkl","rkl","q0","cexp","clist","klist","keff"
"R3","group-Hamming ball","groups \{2,5,9,13,17\}",2,0.199700734078838,1,4.61512051684126,"up to 2 group changes","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R4","group-Hamming ball","groups \{2,5,9,13,17\}",3,0.199700734078838,1,4.61512051684126,"up to 3 group changes","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R2","group-Hamming ball","groups \{2,5,9,13,17\}",1,0.132145226705303,0.987944444444445,4.61512051684126,"one group change","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R7","group-Hamming ball","groups \{2,5,9,13,17\}",2,0.073152247695463,1,5.61512051684126,"up to 2 group changes","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R8","group-Hamming ball","groups \{2,5,9,13,17\}",3,0.073152247695463,1,5.61512051684126,"up to 3 group changes","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R6","group-Hamming ball","groups \{2,5,9,13,17\}",1,0.0484060331591125,0.987944444444445,5.61512051684126,"one group change","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R10","group-Hamming ball","groups \{2,5,9,13,17\}",1,0.0484060331591125,0.987944444444445,5.61512051684126,"one group change","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R1","group-Hamming ball","groups \{2,5,9,13,17\}",0,0.0354063487258676,0.851611111111111,4.61512051684126,"exact group pattern","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R5","group-Hamming ball","groups \{2,5,9,13,17\}",0,0.0354063487258676,0.851611111111111,4.61512051684126,"exact group pattern","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R11","group-Hamming ball","groups \{2,5,9,13,17\}",2,0.0267963528906497,1,6.61512051684126,"up to 2 group changes","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R12","group-Hamming ball","groups \{2,5,9,13,17\}",3,0.0267963528906497,1,6.61512051684126,"up to 3 group changes","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R15","group-Hamming ball","groups \{2,5,9,13,17\}",2,0.0267963528906497,1,6.61512051684126,"up to 2 group changes","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R14","group-Hamming ball","groups \{2,5,9,13,17\}",1,0.0177315829305479,0.987944444444445,6.61512051684126,"one group change","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R9","group-Hamming ball","groups \{2,5,9,13,17\}",0,0.0129696768714134,0.851611111111111,5.61512051684126,"exact group pattern","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R16","group-Hamming ball","groups \{2,5,9,13,17\}",3,0.00981575482450643,1,7.61512051684126,"up to 3 group changes","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R19","group-Hamming ball","groups \{2,5,9,13,17\}",2,0.00981575482450643,1,7.61512051684126,"up to 2 group changes","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R20","group-Hamming ball","groups \{2,5,9,13,17\}",3,0.00981575482450643,1,7.61512051684126,"up to 3 group changes","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R18","group-Hamming ball","groups \{2,5,9,13,17\}",1,0.00649524475987153,0.987944444444445,7.61512051684126,"one group change","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R13","group-Hamming ball","groups \{2,5,9,13,17\}",0,0.00475091400842423,0.851611111111111,6.61512051684126,"exact group pattern","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"R17","group-Hamming ball","groups \{2,5,9,13,17\}",0,0.00174030426040842,0.851611111111111,7.61512051684126,"exact group pattern","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
"fallback","unrestricted BMA","all supports",NA,0.001,1,18.4206807439524,"residual unrestricted posterior","multi_representative",0.9,1,0.0160266686201856,0.00163133173351504,0.00149395838442354,0.001,5.20380386735218,122.302410336825,20,8.44956357659616
