"method","method_family","tuning","beta","tv","fkl","rkl","mean_h_error","q0","expected_code","active_kernels_001","q_effective_kernels","n_kernels","stored_atoms","objective","rmse","logscore","rmse_gap","logscore_gap","kkt_residual","optimizer_status","optimizer_iterations","objective_change","raw_candidates","key_deduped_candidates","near_deduped_candidates","objective_consistent","runtime_sec","status","error","dataset","response","replication_id","mode","p_reduced","n_train","n_test","reference_type","reference_supports","reference_support_entropy","reference_support_n95"
"ASK-PC pooled union","support-kernel compression","beta=0.02",0.02,0.0747444417352118,0.0232634593366616,0.0221695292855213,2.22044604925031e-16,0.001,6.3791037199432,38,17.0001446275863,343,NA,0.148012311884002,3.92756681877755,-2.84401242478146,-0.000680884728944342,-0.000384786087223254,0.0263815140027119,"embedded_pruned_feasible_solution",0,0,495,474,343,TRUE,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02",0.02,0.0747444417352118,0.0232634593366616,0.0221695292855213,2.22044604925031e-16,0.001,6.3791037199432,38,17.0001446275863,39,NA,0.148012311884002,3.92756681877755,-2.84401242478146,-0.000680884728944342,-0.000384786087223254,0.00616838792878593,"max_iter_reached",120,5.3573600472534e-07,495,474,343,TRUE,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Fixed hard dictionary","fixed region dictionary","beta=0.02",0.02,0.154309105544265,0.0714609865605297,0.0894765233248382,0,0.82290499132082,37.0113482406323,10,2.12807483696669,49,NA,0.81093285781782,3.91342108940248,-2.84263540701021,-0.0148266141040123,0.000992231684025402,0.284315154339447,"objective_converged_kkt_warning",104,1.79503834518702e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Top-M support atoms","atom truncation","M=16, beta=0.02",0.02,0.290490784275953,0.221915501468841,0.187442712578158,0,0.381619562512978,30.9557253273209,17,8.67403878177392,17,16,0.83886967349882,3.91214147308744,-2.84019130373054,-0.0161062304190511,0.00343633496368945,0.00557374300131097,"objective_converged_kkt_warning",37,1.43789500417491e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Top-M support atoms","atom truncation","M=32, beta=0.02",0.02,0.247644705984934,0.218616770040101,0.164378094559947,0,0.298049389041713,27.032648761377,33,14.6373864246968,33,32,0.756586166297949,3.90953755615195,-2.84035163244419,-0.0187101473545384,0.00327600625004232,0.00510955423178672,"objective_converged_kkt_warning",36,1.04883939522349e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Credible support set","credible support summary","coverage=0.9, beta=0.02",0.02,0.0911326327181314,0.146378499456807,0.0730333468011794,0,0.0994046255443122,18.4066050604267,132,52.8382707911409,177,176,0.510543364911597,3.91996844339364,-2.84222368037477,-0.00827926011284852,0.00140395831946361,0.00663548265592073,"objective_converged_kkt_warning",32,7.13922655215526e-07,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Posterior clustering","posterior clustering","clusters=6, beta=0.02",0.02,0.0476908196965624,0.00638777960181165,0.00636715455953531,0,0.776125706942204,9.48122618430699,9,2.58384811729097,9,NA,0.195063023481897,3.92225548022888,-2.84263132214224,-0.00599222327761151,0.000996316551993282,0.0156858282288046,"max_iter_reached",120,8.46960879269387e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Posterior clustering","posterior clustering","clusters=10, beta=0.02",0.02,0.0704327882198626,0.0178278481545725,0.0173235764949635,0,0.341099751113452,8.68098755651906,14,8.77427774188159,14,NA,0.189275774827607,3.92515878338635,-2.84294146664928,-0.00308892012014406,0.00068617204495558,0.0265773716182532,"max_iter_reached",120,3.15282391867844e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"ASK-PC pooled union","support-kernel compression","beta=0.08",0.08,0.167579020961712,0.0920360244327596,0.0891838801121692,0,0.001,4.55611225672481,12,6.76209267725539,343,NA,0.454613673067214,3.92528817210501,-2.84460173513909,-0.00295953140148075,-0.000974096444852801,0.0107045514326292,"objective_converged_kkt_warning",1,7.72119771452751e-08,495,474,343,TRUE,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.08",0.08,0.169362586895531,0.0933970861937348,0.0906592384053098,0,0.001,4.54284830572509,11,6.38818013635874,11,NA,0.454970501222608,3.92531660271556,-2.84463143874239,-0.00293110079092784,-0.00100380004815692,0.00543087482862925,"max_iter_reached",120,4.50467462276283e-07,495,474,343,TRUE,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Fixed hard dictionary","fixed region dictionary","beta=0.08",0.08,0.369588901412284,0.322889722283092,0.454194569013206,0,0.271981041859525,14.3040941615192,11,5.57055017549775,49,NA,2.21559091919896,3.8970248350808,-2.84202160153965,-0.031222868425695,0.0016060371545783,0.343404059208349,"max_iter_reached",120,1.96514886967591e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Top-M support atoms","atom truncation","M=16, beta=0.08",0.08,0.414373975190085,0.721290973196692,0.470160927491632,0,0.117903995818801,18.2952121083445,17,11.1646819925795,17,16,2.18249518646189,3.90187869310461,-2.83881112326534,-0.0263690104018766,0.00481651542889638,0.00789570893170888,"objective_converged_kkt_warning",38,2.48695982651981e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Top-M support atoms","atom truncation","M=32, beta=0.08",0.08,0.324166448295692,0.618358408148379,0.357684988813857,0,0.0891634083084489,16.8548334558077,33,19.0174827036582,33,32,1.9637997259146,3.90245020934447,-2.83994845079337,-0.0257974941620169,0.00367918790086508,0.00768915763949884,"objective_converged_kkt_warning",36,1.83247077822912e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Credible support set","credible support summary","coverage=0.9, beta=0.08",0.08,0.141941165467461,0.294573997188948,0.121181758694639,0,0.026681785235588,14.6198047667132,128,52.2414722439981,177,176,1.46020250185912,3.91818435060462,-2.84254575999012,-0.0100633529018674,0.00108187870411403,0.0271133041284002,"objective_converged_kkt_warning",33,2.2933014447446e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Posterior clustering","posterior clustering","clusters=6, beta=0.08",0.08,0.155045232021888,0.0669497133782651,0.0674468076247699,0,0.434077572013483,8.2754853333564,9,5.7205101384632,9,NA,0.727244482060317,3.90717100057823,-2.84049068216129,-0.0210767029282652,0.00313695653294399,0.019198710317644,"max_iter_reached",120,6.79750505006016e-06,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Posterior clustering","posterior clustering","clusters=10, beta=0.08",0.08,0.136827175524287,0.0707941819333527,0.0658400997438657,0,0.0137079210199988,7.47500631578569,14,9.44083925760108,14,NA,0.666549642315596,3.92516032624612,-2.84309073107682,-0.00308737726037256,0.000536907617409099,0.0347535460579161,"max_iter_reached",120,2.18767824102795e-05,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"Dilution-prior BMA","redundancy-aware prior","power=0.5",NA,0.902487639029811,8.215465801683,3.86006911226952,0,NA,9,NA,NA,NA,9,NA,3.97368278003551,-2.86357217099431,0.0454350765290203,-0.0199445323000824,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
"DPP-prior BMA","redundancy-aware prior","power=1",NA,0.984460994550029,18.929162003816,4.520545734948,0,NA,3,NA,NA,NA,3,NA,3.97808327365493,-2.86519532982266,0.0498355701484368,-0.0215676911284248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,"tecator","fat",1,"full",12,162,53,"exact enumerated reduced real-response BMA",4096,4.6071649189671,291
