"dataset","mode","p_reduced","n_train","n_test","reference_type","reference_supports","reference_support_n95","status"
"tecator","full",12,162,53,"exact enumerated reduced real-response BMA",4096,291,"pass"
"gasoline","full",12,45,15,"exact enumerated reduced real-response BMA",4096,257,"pass"
"tecator","full",12,162,53,"exact enumerated reduced real-response BMA",4096,290,"pass"
"gasoline","full",12,45,15,"exact enumerated reduced real-response BMA",4096,304,"pass"
"tecator","full",12,162,53,"exact enumerated reduced real-response BMA",4096,353,"pass"
"gasoline","full",12,45,15,"exact enumerated reduced real-response BMA",4096,212,"pass"
"tecator","full",12,162,53,"exact enumerated reduced real-response BMA",4096,241,"pass"
"gasoline","full",12,45,15,"exact enumerated reduced real-response BMA",4096,325,"pass"
"tecator","full",12,162,53,"exact enumerated reduced real-response BMA",4096,365,"pass"
"gasoline","full",12,45,15,"exact enumerated reduced real-response BMA",4096,222,"pass"
