"dataset","method","method_family","tuning","mode","p_reduced","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","expected_code_mean","expected_code_se","active_kernels_001_mean","active_kernels_001_se","q_effective_kernels_mean","q_effective_kernels_se","stored_atoms_mean","stored_atoms_se","rmse_gap_mean","rmse_gap_se","logscore_gap_mean","logscore_gap_se","kkt_residual_mean","kkt_residual_se","runtime_sec_mean","runtime_sec_se","reference_support_n95_mean","reference_support_n95_se","n_replications"
"gasoline","Top-M support atoms","atom truncation","M=16, beta=0.02","full",12,0.282220299542526,0.00925234602834691,0.22466571618082,0.000746218136346562,0.184207840261859,0.00516677338784223,0.358167842294326,0.0190236468396229,29.3821117306456,0.930249947732606,17,0,9.08719196141354,0.178253082221207,16,0,0.00366909430639523,0.00136321353210729,0.00155360540274752,0.00193894293157432,0.00521625357363754,0.000370079537083249,NA,NA,264,22.1788187241792,5
"tecator","Top-M support atoms","atom truncation","M=16, beta=0.02","full",12,0.297259650562276,0.00603584905683701,0.221023794911734,0.00157438756771547,0.192354791403916,0.00384785035912422,0.40414047221493,0.019176738525874,31.9234540361523,0.949428235234474,17,0,8.14339092005679,0.213126099495117,16,0,-0.0156676986766213,0.00350537037619658,0.00311149857835744,0.000346448103304372,0.00602020203754825,0.000319220454270899,NA,NA,308,22.7771815640127,5
"gasoline","Top-M support atoms","atom truncation","M=16, beta=0.08","full",12,0.393772002166124,0.0208681795673524,0.695133291498577,0.0243745205207841,0.43138919820029,0.0284200047695997,0.109781992581193,0.00654582091191558,17.3834836406048,0.353641781014785,17,0,11.3462110357815,0.505033422048524,16,0,0.00543505395704174,0.0021954758788403,-0.000830964980645313,0.00285185934045427,0.0072168084741968,0.000473148807490197,NA,NA,264,22.1788187241792,5
"tecator","Top-M support atoms","atom truncation","M=16, beta=0.08","full",12,0.438489947363834,0.0196568522229978,0.754617981713186,0.0248963369735104,0.524952428393384,0.0388865126257176,0.125592879899653,0.00662329515807337,18.4693822953575,0.393267635801376,17,0,11.1204557167197,0.219834647904888,16,0,-0.0216148732688531,0.00555452824191803,0.00349959763968659,0.000873827456053844,0.00970843928200107,0.000576379409883073,NA,NA,308,22.7771815640127,5
"gasoline","Top-M support atoms","atom truncation","M=32, beta=0.02","full",12,0.231039675159376,0.0122263204364533,0.215756446835724,0.00300594082163325,0.155706742988674,0.00661385439437139,0.271153432645629,0.0180261462139441,25.4568770392181,0.863455744260452,33,0,15.3226500971753,0.477125668022069,32,0,0.0029220644166231,0.00135925615820055,0.00170613076412459,0.00169449376005525,0.00626860851025205,0.000473124720156064,NA,NA,264,22.1788187241792,5
"tecator","Top-M support atoms","atom truncation","M=32, beta=0.02","full",12,0.259721726379311,0.00935198284928457,0.219090344326203,0.00114148322823125,0.170623527975852,0.0048451446883881,0.322341915808604,0.0181020827601325,28.2376063747785,0.948695466138522,33,0,13.6850535806523,0.28464521911545,32,0,-0.0151732542921776,0.00373057388863707,0.00280637908396146,0.000415906860695917,0.00586302677927678,0.000288413241732996,NA,NA,308,22.7771815640127,5
"gasoline","Top-M support atoms","atom truncation","M=32, beta=0.08","full",12,0.294683306496381,0.0202294524178109,0.576095487303587,0.0264076766057183,0.310590056374757,0.0246822623201027,0.0803083566990404,0.00598882980434572,16.2016682217212,0.293582894880732,33,0,18.3809568000073,1.10529796250675,32,0,0.00424495748847219,0.00194803242989591,-0.00185206854100748,0.00163172795329261,0.00936950952454582,0.00103933629536398,NA,NA,264,22.1788187241792,5
"tecator","Top-M support atoms","atom truncation","M=32, beta=0.08","full",12,0.349445078428886,0.0186825374090722,0.648420481462319,0.0231815230923239,0.393122157087963,0.0270171516094418,0.0975271539406233,0.00619585359648323,17.3376459508991,0.428666209045791,33,0,18.3456188215078,0.495904365464879,32,0,-0.0196356883565623,0.00531573986462587,0.00284569178940623,0.000680520309079425,0.00994176762226497,0.000606528636755654,NA,NA,308,22.7771815640127,5
"gasoline","Elastic net","predictive selection","alpha=0.5, lambda.min","full",12,NA,NA,NA,NA,NA,NA,NA,NA,10.2,0.66332495807108,NA,NA,NA,NA,10.2,0.66332495807108,0.00603490561168616,0.0098962916063378,-0.0262018919090246,0.210099641907558,NA,NA,0.0419999999999959,0.00800000000001546,264,22.1788187241792,5
"tecator","Elastic net","predictive selection","alpha=0.5, lambda.min","full",12,NA,NA,NA,NA,NA,NA,NA,NA,11,0,NA,NA,NA,NA,11,0,-0.893810764203349,0.0814657959967576,0.302133674005216,0.0339492371508609,NA,NA,0.0720000000000425,0.00374165738678269,308,22.7771815640127,5
"gasoline","Lasso","predictive selection","alpha=1, lambda.min","full",12,NA,NA,NA,NA,NA,NA,NA,NA,8.8,0.58309518948453,NA,NA,NA,NA,8.8,0.58309518948453,0.00274152308589753,0.00972923319905289,0.0174202050929312,0.189226831137466,NA,NA,0.0440000000000396,0.00599999999998602,264,22.1788187241792,5
"tecator","Lasso","predictive selection","alpha=1, lambda.min","full",12,NA,NA,NA,NA,NA,NA,NA,NA,9,0.547722557505166,NA,NA,NA,NA,9,0.547722557505166,-0.913538389772632,0.100290768428347,0.307182850237544,0.0370224650204482,NA,NA,0.0680000000000291,0.0131909059582687,308,22.7771815640127,5
"gasoline","Fixed hard dictionary","fixed region dictionary","beta=0.02","full",12,0.0559209547062429,0.0110825617307848,0.0262950282797317,0.00510079700462852,0.0372835424296942,0.00674647537149374,0.941742193873255,0.0119944399120553,41.01406935824,0.406775305785937,9.8,0.374165738677394,1.41951678059279,0.0838583550985188,NA,NA,-0.000329788312224155,0.000427943239044046,-0.00606806934352014,0.0018248241330291,0.290714091366887,0.00823608579268239,NA,NA,264,22.1788187241792,5
"tecator","Fixed hard dictionary","fixed region dictionary","beta=0.02","full",12,0.157149631151997,0.0148215903622279,0.0725322074177435,0.00718610221483485,0.0892386960579984,0.00752459997016367,0.815792563788398,0.020634780390818,36.8179068826533,0.697073156870943,8,0.547722557505166,2.14392551857024,0.134736708644488,NA,NA,-0.00648535290392118,0.0035648724737761,-0.000117327341879658,0.00064775506045551,0.164011628206449,0.047233054259428,NA,NA,308,22.7771815640127,5
"gasoline","ASK-PC pooled union","support-kernel compression","beta=0.02","full",12,0.066507787030688,0.000782097531515076,0.0155286933648318,0.000284440315791797,0.0149029444995099,0.000283799872743614,0.001,0,5.95953215809581,0.0382161308712288,33,2.0976176963403,11.5394242580753,1.56690399815174,NA,NA,0.000224820050436836,0.000451111054088728,-0.00343444155390354,0.000453777602748344,0.51461681016643,0.0924538224835392,NA,NA,264,22.1788187241792,5
"tecator","ASK-PC pooled union","support-kernel compression","beta=0.02","full",12,0.0762232741443604,0.00228231882070439,0.0223132756904445,0.00151194069796221,0.0216520124352025,0.001181433882233,0.001,0,6.45303173112599,0.0907864592403488,34,1.30384048104053,14.8262715892311,0.569455789470321,NA,NA,-0.00050667803670148,0.00138606918479279,-0.000412283503894528,0.000225761554190136,0.0317738650701226,0.00446490646384303,NA,NA,308,22.7771815640127,5
"gasoline","ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02","full",12,0.066507787030688,0.000782097531515076,0.0155286933648318,0.000284440315791797,0.0149029444995099,0.000283799872743614,0.001,0,5.95953215809581,0.0382161308712288,33,2.0976176963403,11.5394242580753,1.56690399815174,NA,NA,0.000224820050436836,0.000451111054088728,-0.00343444155390354,0.000453777602748344,0.00913569293491916,0.000455483439679012,NA,NA,264,22.1788187241792,5
"tecator","ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.02","full",12,0.0762232741443604,0.00228231882070439,0.0223132756904445,0.00151194069796221,0.0216520124352025,0.001181433882233,0.001,0,6.45303173112599,0.0907864592403488,34,1.30384048104053,14.8262715892311,0.569455789470321,NA,NA,-0.00050667803670148,0.00138606918479279,-0.000412283503894528,0.000225761554190136,0.0068515702892046,0.000654777952301537,NA,NA,308,22.7771815640127,5
"gasoline","Fixed hard dictionary","fixed region dictionary","beta=0.08","full",12,0.201567404894358,0.0590604449748171,0.188364986118809,0.0749613663171932,0.468717910421787,0.247446295427615,0.297950229959152,0.00311782394026736,14.660316243432,0.348956216916493,14.2,1.59373774505092,4.15037398528567,1.50856292267911,NA,NA,0.00132875061399095,0.00298790112778507,-0.0307639970124275,0.013019591339701,0.338886230132141,0.0150657555163419,NA,NA,264,22.1788187241792,5
"tecator","Fixed hard dictionary","fixed region dictionary","beta=0.08","full",12,0.363263128294236,0.0320178592294265,0.319607748996052,0.0380645152194826,0.433442211556973,0.0396394281946459,0.269447051720409,0.00477998030259615,14.3041732603098,0.000592178656184955,11.2,0.374165738677394,5.64421464696323,0.331160615139712,NA,NA,-0.0128309183717301,0.00861273627731512,-0.000759435868040637,0.00154214117746004,0.329496150492371,0.00504090110271635,NA,NA,308,22.7771815640127,5
"gasoline","ASK-PC pooled union","support-kernel compression","beta=0.08","full",12,0.147537192966012,0.00248666224781359,0.0722758378693307,0.00196083426190987,0.0697891132547297,0.00130615808427104,0.001,4.84869951806108e-20,4.54668867865302,0.0591898153865126,9.8,0.58309518948453,6.24424311974843,0.264974182052202,NA,NA,0.000475168564760348,0.000968947622041107,-0.0105757886854419,0.00136891866801425,0.037199376683785,0.0170040485140442,NA,NA,264,22.1788187241792,5
"tecator","ASK-PC pooled union","support-kernel compression","beta=0.08","full",12,0.169239265676451,0.00274332171697339,0.0936291280965005,0.00268539700782692,0.0915420694899409,0.00266404664893793,0.001,0,4.55272074214749,0.0263756230679103,9.8,0.734846922834953,5.81442343076891,0.420144349557743,NA,NA,-0.000208624176543015,0.00337640786873821,-0.00136211949714715,0.000573003210245204,0.0270123306430804,0.0106551022691785,NA,NA,308,22.7771815640127,5
